Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
119.0,5.701250444929451,1.0451782131572558,0.48895494464330524,14.159740916100738,7.943931752560592,5.453071613079757
120.0,5.738880497072539,1.035510445664141,0.4912772627279358,14.19433303947249,7.9647711944006625,5.464867765529237
121.0,5.814775874208993,1.0163117962368364,0.4959550412125545,14.260920612876312,8.008320807121573,5.491439990337486
122.0,5.891521878454497,0.9972942257819404,0.5006773599460541,14.336584832175237,8.056920588795709,5.519280797724724
123.0,5.930215178562359,0.987852810815766,0.5030553542792862,14.371764056674907,8.083007665432197,5.533777430303148
124.0,6.008244914241371,0.9691036615253599,0.5078452798291753,14.439205737304713,8.147786854938435,5.567277818539683
125.0,6.0475823352797695,0.9597955062521444,0.5102573185874738,14.46988020979899,8.187020200099038,5.580424442377957
126.0,6.126904669625373,0.9413109895286405,0.5151158188430205,14.526535468642562,8.288233836316417,5.604029701438921
127.0,6.166890505476897,0.932134213070801,0.5175623894215241,14.554430579414278,8.381496874110526,5.615189249355694
128.0,6.24751373944737,0.9139105937903069,0.52249044612873,14.614129083200146,8.516485164082361,5.636825013143589
129.0,6.288151994277392,0.9048633418176755,0.5249720429003433,14.645887194478382,8.580535248936812,5.646891784965696
130.0,6.370083836372647,0.8868969375752482,0.5299706518603222,14.708945915358058,8.679630324488363,5.66718956887816
131.0,6.41137821166668,0.8779773819303704,0.5324877762756127,14.741278636250847,8.72206069761223,5.677524214264538
132.0,6.494625752296442,0.8602645622959197,0.5375579475458104,14.79908623720187,8.789622796430825,5.697951077148386
133.0,6.536579634205232,0.8514709006246495,0.5401111082343341,14.826945434872671,8.821128591630709,5.709809224516024
134.0,6.578754047850824,0.8427188074953811,0.5426763952983134,14.855950728894232,8.853151635415797,5.722662529114663
135.0,6.663765767795181,0.8253385417966381,0.547843579205709,14.918984466747188,8.926715256845108,5.7478347791293265
136.0,6.706603691236406,0.8167099790118506,0.5504455920608321,14.952898925519166,8.967964832194095,5.758060702084609
137.0,6.792945111698238,0.7995750249405349,0.5556867516724089,15.015963892155515,9.0328743331677,5.777181507849388
138.0,6.836449148310662,0.7910682489463392,0.5583260161014446,15.047884393107434,9.062892339160374,5.786259599521496
139.0,6.880175740221968,0.782601685356078,0.5609778158603324,15.080741757561336,9.089985931977342,5.795946074159092
140.0,6.968297522715587,0.7657884359332736,0.5663192597993594,15.160676512990163,9.142235234194695,5.816131434451317
141.0,7.012693145756433,0.7574413726158526,0.5690090239036288,15.204339036500333,9.167646769788682,5.826956024750587
142.0,7.057312188765915,0.7491337667241385,0.5717115631887022,15.254729801393953,9.192377168142183,5.837579362890172
143.0,7.147221247683246,0.7326361820223115,0.5771552102951079,15.352414997307113,9.254245535239255,5.8589634458163005
144.0,7.192511584963174,0.724445832814508,0.5798964403351985,15.39881160080392,9.28305796029454,5.86936887644505
145.0,7.238025984732612,0.7162942002287191,0.5826506899963518,15.447197477803282,9.307666841206077,5.8798853427481115
146.0,7.329727457563047,0.7001063537185233,0.5881984958251407,15.568958504278381,9.351534637755291,5.902216467446374
147.0,7.375914737341046,0.6920697763505583,0.5909921765500661,15.658196314281948,9.371085355145054,5.913062802231862
148.0,7.422326492846222,0.6840711887093227,0.5937991260134335,15.754396581544466,9.389819027628976,5.922988466217868
149.0,7.515823683135582,0.6681872651305834,0.59945308353719,16.156687330737466,9.424878408549464,5.943045672835993
150.0,7.562909206842839,0.6603015725730825,0.602300218538149,16.361018821960318,9.441160946315867,5.952524418232902
151.0,7.610219383956544,0.6524531564943146,0.6051608761615389,16.48594644707214,9.458096640332826,5.9618491016317074
152.0,7.657754221443944,0.6446418406845371,0.6080351206337894,16.575310733648475,9.477998319281946,5.972050504208912
153.0,7.7534978296688815,0.6291298091938411,0.6138246285572788,16.71449273694304,9.520063340623064,5.992667978333659
154.0,7.80170653839661,0.6214287452425136,0.616740021992414,16.77123699781932,9.536886311223466,6.002566346049731
155.0,7.850139783352024,0.6137640850115316,0.6196692622471235,16.81612837395626,9.552753930882101,6.012825117058664
156.0,7.898797495178887,0.6061356564167708,0.622612415087629,16.85771574480953,9.569491359599015,6.0242613288639255
157.0,7.996785964777384,0.5909868098628643,0.628540723154201,16.93705559191459,9.60233464611736,6.05011320973509
158.0,8.046116506452211,0.5834660517874,0.6315260114804548,16.976100939799117,9.617347646397969,6.062291509963652
159.0,8.095671082722221,0.5759808451078874,0.6345254785958663,17.015644386778884,9.63310414155376,6.072946770859602
160.0,8.145449546599048,0.5685310217692239,0.6375391918433659,17.05438213114694,9.649525784812935,6.08280118695459
161.0,8.245677471022944,0.5537368568623595,0.6436096277071109,17.151634808410027,9.681630373197237,6.098689929299675
162.0,8.296126559325902,0.5463921831410221,0.6466664866145445,17.224619598093266,9.698625227021466,6.106336123421827
163.0,8.3467987907114,0.539082228446806,0.6497378642395013,17.273968883060505,9.716617803000773,6.113760246195363
164.0,8.397693939815667,0.5318068286593052,0.6528238295394189,17.31203989290297,9.736015824131224,6.121314835886211
