Snapshot,Time_Gyr,Redshift,ExpansionFactor,SubhaloGasMassUnder10000K_Msun,SubhaloGasMassUnder20000K_Msun,SubhaloGasMassUnder50000K_Msun,SubhaloGasMassUnder100000K_Msun,Suite,Simulation,Galaxy
110,11.033523308792786,0.2259883862601976,0.8156684118765909,14572001280.0,52440223744.0,70275768320.0,74995671040.0,Au,16,
111,11.155782009390869,0.2144250355144945,0.823434934850752,17033153536.0,56991772672.0,71928446976.0,76058984448.0,Au,16,
112,11.340613907183544,0.1972841823760098,0.8352235958012078,6241431040.0,55352848384.0,70422683648.0,74659921920.0,Au,16,
113,11.527155884914244,0.1803852617057493,0.8471810284677068,16668638208.0,56776802304.0,70384525312.0,74591322112.0,Au,16,
114,11.652454415336605,0.1692520332436107,0.8552476040823377,15384611840.0,56450600960.0,69766471680.0,73993617408.0,Au,16,
115,11.841788296065106,0.1527487689023809,0.8674917093619414,16287169536.0,56340697088.0,68991778816.0,73095585792.0,Au,16,
116,11.968923189270404,0.141876203969562,0.8757516765159388,15389783040.0,56672268288.0,68765491200.0,72690352128.0,Au,16,
117,12.160973462266846,0.1257593324112609,0.8882893272206793,20905852928.0,55550427136.0,67863871488.0,71872282624.0,Au,16,
118,12.354616159128051,0.1098699404588254,0.9010064725120812,17709215744.0,55915876352.0,67949846528.0,71790354432.0,Au,16,
119,12.48458181323533,0.0994018026302219,0.9095855560793044,18611822592.0,56668975104.0,67402301440.0,71101513728.0,Au,16,
120,12.680814521632618,0.0838844307974793,0.9226075876597282,24990896128.0,53858885632.0,65954971648.0,69667184640.0,Au,16,
121,12.812479750823842,0.0736613846564386,0.9313923498515226,16666626048.0,55682387968.0,66115346432.0,69608079360.0,Au,16,
122,13.011220678541196,0.0585073227945129,0.9447265771954694,16285853696.0,56323211264.0,66338168832.0,69854060544.0,Au,16,
123,13.144530370226075,0.0485236299818059,0.9537219490392906,19037714432.0,58323738624.0,67155156992.0,70479331328.0,Au,16,
124,13.345696086314067,0.0337243718735154,0.9673758568617342,16650930176.0,57745043456.0,66464034816.0,69673099264.0,Au,16,
125,13.48059417811007,0.0239744283827625,0.9765868876036023,18544226304.0,58111143936.0,67168976896.0,70232850432.0,Au,16,
126,13.684100038722406,0.0095216669679447,0.99056814006128,21156577280.0,58597998592.0,66470563840.0,69374443520.0,Au,16,
127,13.82052979916365,2.220446049250313e-16,0.9999999999999998,28111831040.0,58898718720.0,66390650880.0,69175689216.0,Au,16,
30,0.4217845366394565,10.919033198155365,0.0838994223251902,2227075.75,309913440.0,383188032.0,410225344.0,Au,17,
31,0.4528384166734556,10.367443572408746,0.087970526849785,3686119.75,389973952.0,467721440.0,505547424.0,Au,17,
32,0.4861761234395592,9.841380439471834,0.0922391761439484,974625.375,449267040.0,544079680.0,581355200.0,Au,17,
33,0.5182708119307342,9.388771271940549,0.0962577742664274,6656414.0,679977152.0,787266368.0,828192128.0,Au,17,
34,0.5564188833159369,8.907999185598532,0.1009285508878038,10472026.0,720364224.0,824437760.0,872026496.0,Au,17,
35,0.5973702376945801,8.449476294368743,0.1058259705456833,17522490.0,401978176.0,419171712.0,419361664.0,Au,17,
36,0.6413297674084788,8.012172948865935,0.1109610307829075,28219870.0,662481600.0,692215040.0,695450240.0,Au,17,
37,0.6885170787669509,7.5951071498715965,0.116345262783017,64966784.0,1154663040.0,1252139904.0,1258047872.0,Au,17,
38,0.7339395587876801,7.23627606616736,0.1214140944240273,136644576.0,3113323776.0,3462593280.0,3563805440.0,Au,17,
39,0.787921774026992,6.855117262650799,0.1273055470164348,88958912.0,3335983872.0,3881852928.0,4053470464.0,Au,17,
40,0.8458612530579325,6.491597745667503,0.1334828742744916,176526112.0,3957241856.0,4738069504.0,5804457472.0,Au,17,
41,0.9080449696290196,6.144901203416368,0.1399599478746949,259531040.0,5686200832.0,7398884864.0,8478982656.0,Au,17,
42,0.9678924784861273,5.846613747881867,0.1460576040687806,0.0,5092414464.0,7074983936.0,8429310976.0,Au,17,
43,1.0390037466243902,5.529765807949103,0.1531448492046431,0.0,6845120512.0,9934371840.0,11491828736.0,Au,17,
44,1.115309430693374,5.227580973127337,0.1605759932010687,0.0,6641269760.0,10078322688.0,12461556736.0,Au,17,
45,1.197181863756146,4.939380663491011,0.1683677232791182,673082752.0,7591421440.0,10540681216.0,13212926976.0,Au,17,
46,1.2850184010331818,4.664517702470927,0.1765375363843931,1627142272.0,11457195008.0,14451874816.0,16997483520.0,Au,17,
47,1.3695201902147045,4.428033736605549,0.1842287739031916,1228882048.0,11758603264.0,15698439168.0,18673166336.0,Au,17,
48,1.469878490582777,4.176834914726472,0.1931682227600717,878607872.0,10737371136.0,14234933248.0,16820629504.0,Au,17,
49,1.577506484958674,3.937261084727584,0.2025414461255243,1507042304.0,13153805312.0,17263894528.0,20457035776.0,Au,17,
50,1.6929110344480442,3.7087742646422353,0.2123694923132991,1731472256.0,12923165696.0,17480503296.0,21723228160.0,Au,17,
51,1.816629764214748,3.4908613692606485,0.2226744309777334,2011644160.0,12918860800.0,17933023232.0,22578063360.0,Au,17,
52,1.949231863937383,3.283033057956525,0.2334794026729061,3008842752.0,16602244096.0,22208997376.0,27229298688.0,Au,17,
53,2.0913186379114133,3.084822635834013,0.2448086708165791,1358004480.0,15517135872.0,23814924288.0,29245356032.0,Au,17,
54,2.243523728229641,2.8957850057274284,0.2566876761756205,1254740736.0,14670153728.0,23478120448.0,30315311104.0,Au,17,
55,2.38970908764874,2.7331426173187188,0.2678708269437177,1219829632.0,15288354816.0,24544405504.0,31211065344.0,Au,17,
56,2.545136331266385,2.577290271601893,0.2795411957308694,3113193216.0,19120779264.0,27146180608.0,34354214912.0,Au,17,
57,2.691478124041424,2.4442257045541464,0.2903410187891416,2631484672.0,20284065792.0,30472230912.0,37443399680.0,Au,17,
58,2.845920886458248,2.316110743956892,0.3015580833126119,4609214976.0,25430902784.0,34865672192.0,42687123456.0,Au,17,
59,2.988012615874371,2.207925472383703,0.3117279402557108,3225239296.0,20711768064.0,31716034560.0,40925872128.0,Au,17,
60,3.1368772698499368,2.1032696525957717,0.3222407692362591,2152006144.0,18486122496.0,27894982656.0,36096393216.0,Au,17,
61,3.29278934427696,2.002028139252852,0.3331081367707903,3055902464.0,21861322752.0,33367650304.0,41828827136.0,Au,17,
62,3.456027342112737,1.9040895435327672,0.344341999449342,5474915328.0,23519827968.0,34520842240.0,43140337664.0,Au,17,
63,3.6019897617620327,1.822689252620354,0.3542720825792927,2710581760.0,17826654208.0,30001944576.0,39392792576.0,Au,17,
64,3.7537195774394343,1.7435705743308647,0.3644885279628326,3140569600.0,18765367296.0,30948681728.0,40595238912.0,Au,17,
65,3.911395417791096,1.666669556114465,0.3749995936718436,1926461696.0,16082192384.0,29789968384.0,40102662144.0,Au,17,
66,4.047462659359281,1.6042345220731056,0.3839899945738943,4576904704.0,20280274944.0,29929924608.0,39882723328.0,Au,17,
67,4.216501575170758,1.5312390291576137,0.395063440663206,2797845760.0,17496846336.0,28314032128.0,38735847424.0,Au,17,
68,4.362284942489244,1.4719748452657977,0.4045348608280338,3101529856.0,17203476480.0,27833260032.0,38988529664.0,Au,17,
