Time_Gyr,AccretionRate_Au1_Msun/yr,AccretionRate_Au2_Msun/yr,AccretionRate_Au3_Msun/yr,AccretionRate_Au4_Msun/yr,AccretionRate_Au5_Msun/yr,AccretionRate_Au6_Msun/yr,AccretionRate_Au7_Msun/yr,AccretionRate_Au8_Msun/yr,AccretionRate_Au9_Msun/yr,AccretionRate_Au10_Msun/yr,AccretionRate_Au11_Msun/yr,AccretionRate_Au12_Msun/yr,AccretionRate_Au13_Msun/yr,AccretionRate_Au14_Msun/yr,AccretionRate_Au15_Msun/yr,AccretionRate_Au16_Msun/yr,AccretionRate_Au17_Msun/yr,AccretionRate_Au18_Msun/yr,AccretionRate_Au19_Msun/yr,AccretionRate_Au20_Msun/yr,AccretionRate_Au21_Msun/yr,AccretionRate_Au22_Msun/yr,AccretionRate_Au23_Msun/yr,AccretionRate_Au24_Msun/yr,AccretionRate_Au25_Msun/yr,AccretionRate_Au26_Msun/yr,AccretionRate_Au27_Msun/yr,AccretionRate_Au28_Msun/yr,AccretionRate_Au29_Msun/yr,AccretionRate_Au30_Msun/yr
3.456027,8.908595,8.221072,6.805181,-0.812384,7.531468,9.535629,1.050062,-0.783317,4.829924,0.068807,12.487245,0.811864,3.328298,12.570083,0.208494,0.212949,11.195904,8.904288,-0.99404,6.505413,1.033693,4.480348,2.208421,27.651017,8.047506,11.948974,21.50489,-1.716711,19.347511,3.710116
3.60199,5.325363,10.295264,-2.25829,3.397491,1.675922,6.806975,1.146788,7.249108,4.654459,15.521113,-29.229551,4.924219,6.221317,-1.178687,3.130989,3.767446,16.66051,-3.93288,7.205933,8.167541,-3.436741,17.33408,11.139059,2.659768,6.955859,-6.669588,10.890644,4.710145,34.823011,1.267284
3.75372,9.606869,11.401571,19.868235,-1.141268,6.5941,8.499434,1.548625,12.021475,32.022583,4.631726,0.665948,10.021281,6.984561,18.166633,5.888053,11.481699,8.556722,5.193844,5.745558,-1.910261,5.677472,11.55115,40.130065,2.770667,2.093619,4.816825,6.36444,0.846633,4.495192,-0.44675
3.911395,0.820021,0.79162,7.849936,3.427477,22.503095,8.454052,5.308965,22.546485,3.499945,7.650316,14.178047,10.956689,8.08808,10.19557,-2.672461,11.602916,17.781426,13.720134,0.786355,9.833381,1.548003,10.676011,5.810782,28.102173,4.021275,14.38948,4.471172,11.349629,3.497692,-0.73752
4.047463,7.745248,20.096734,-2.999995,1.17171,1.826871,6.772816,-1.130932,-9.073346,-3.450448,-0.417867,2.456444,4.668544,5.174354,14.742868,1.315873,-0.622494,18.807794,24.73248,9.12455,1.522442,4.792444,10.234186,-1.231655,12.951737,9.381093,15.682834,6.774789,15.257394,19.312541,4.608577
4.216502,3.7453,15.264318,13.67971,0.341242,-3.237958,5.070558,3.612077,10.170932,3.853704,6.435513,-1.367862,8.498454,1.585748,6.723359,4.703978,0.642337,10.450032,2.802846,5.246915,6.23771,7.434299,8.125994,25.226561,6.922522,5.971651,-3.937188,8.204331,-0.899156,9.52549,0.325898
4.362285,3.715494,11.699347,-18.660275,3.541257,8.50414,3.383989,-4.098501,5.025672,13.895401,9.293337,0.495364,0.625108,1.119928,6.245883,-0.67719,15.301564,4.923302,13.981851,18.858123,7.159086,9.21882,9.775838,13.422092,8.674969,8.232589,6.128034,8.259031,1.692736,18.919726,0.107346
4.512646,9.045065,6.650126,2.985073,-1.317086,10.642184,10.346456,1.511842,7.054075,7.157188,11.071508,11.557974,0.286555,12.083818,0.087635,1.774433,5.470716,9.632245,19.495158,7.388738,1.388537,-3.735262,7.733248,-6.52583,4.22727,11.755596,0.062093,58.385492,3.590827,2.891329,0.85664
4.667682,13.062487,-4.291107,15.744442,2.468253,14.21284,-3.608839,9.027763,19.6062,16.440992,1.412413,-0.115669,3.773947,3.407817,16.87399,-0.225878,16.042818,7.002208,0.708808,-9.984662,5.277458,5.810329,11.614129,15.002709,15.144045,17.223107,15.323676,2.767776,0.04965,9.630949,1.009834
4.82749,15.395291,0.165889,3.849363,5.282958,3.364694,-2.588102,2.130546,12.507406,10.102707,14.402118,20.762153,11.174228,2.896498,21.083427,3.641688,2.684367,21.964601,-6.787003,5.412444,8.897934,-2.183202,11.690802,-2.555944,7.664436,3.980109,14.778952,-20.95241,3.44181,6.791109,0.825545
4.992162,11.927632,7.390516,37.307242,21.898837,-0.547422,10.94842,1.093229,10.580831,4.31295,4.300031,1.529489,9.695726,14.324875,15.392594,-0.236674,8.058943,16.599201,9.975847,12.676644,7.599704,2.148665,19.418014,13.921701,2.68537,7.697735,62.958073,12.542161,9.399034,4.089056,0.426146
5.127464,1.837348,2.727949,-22.578123,-7.133687,5.344668,16.581357,7.68949,5.941631,1.838678,4.450656,8.860161,1.533861,0.894575,-3.466525,8.025922,28.551268,13.083423,40.084343,3.923856,-1.030827,-1.326217,22.225278,22.996178,51.017488,2.745728,5.949703,5.817603,6.793686,32.353566,1.401078
5.301119,5.283735,15.618427,5.357894,3.393604,-0.881269,7.71804,1.900023,-6.957068,15.889452,8.291549,17.033043,5.36619,3.783769,27.437485,6.414135,30.604958,4.143888,14.570134,-4.927656,8.395797,2.760558,7.650658,35.986355,-1.370439,8.344168,-1.225518,28.296318,9.846884,5.335394,12.303835
5.443716,11.277728,12.587383,9.312377,4.60406,4.614297,11.703017,5.127904,-4.069515,10.097264,-0.68887,1.880661,1.268794,-2.393998,-7.325718,-1.425227,3.036131,16.417989,-3.947319,7.183556,1.994522,15.643353,23.220703,13.391749,15.317388,-4.078467,4.967138,3.387289,11.921428,12.204332,2.161045
5.589624,7.261096,-3.681755,15.312318,6.049484,9.082517,1.777005,14.298368,3.160396,2.424468,2.363941,0.153951,2.068061,3.595161,23.700515,5.276715,-1.74184,10.081819,1.776804,6.076643,-4.970655,9.991738,20.511392,15.65249,12.811189,-0.768952,21.765827,4.939515,12.020899,7.041838,2.482452
5.73888,8.833661,25.87505,17.168112,21.508069,12.992044,19.339808,22.208681,-8.205004,6.629323,3.870091,-5.62989,-3.043971,-4.845205,0.52301,1.686218,-0.942099,9.58659,15.756811,17.084464,-1.072925,5.014254,-6.053845,18.373909,6.295196,16.028365,38.0342,7.184861,10.058509,1.374713,1.22194
5.930215,5.871928,32.765483,18.094485,-0.988755,2.402163,11.999692,-0.803705,6.073255,9.905277,10.780736,3.988974,28.045639,9.061261,-1.01205,0.815533,0.255945,15.329678,14.01807,5.308873,9.789004,5.90996,12.934364,18.957987,6.802792,2.455681,32.851792,10.568221,9.044766,13.137316,2.668016
6.087135,4.326765,13.407151,7.658219,13.200711,12.58385,11.558288,-16.570904,-4.103179,11.054098,7.41259,26.915765,9.01497,11.930783,27.260467,4.90912,23.472026,5.32874,5.579363,-1.305059,2.676383,28.879219,16.262215,29.05662,4.730337,14.667781,5.653409,9.014574,-0.313255,20.247207,3.021266
6.207093,0.325445,-6.571489,15.138705,12.564158,6.291398,4.91129,5.327411,-1.811992,0.57613,18.747641,15.708763,-11.035698,-0.025426,-12.027176,11.646027,9.858148,16.191801,5.285927,13.001101,5.950347,-6.466032,4.818374,-8.356839,14.257583,-4.088931,-0.447108,15.653738,7.436975,-11.66478,0.521452
6.370084,13.257208,-12.169561,6.960193,0.016579,8.847593,23.552285,9.436923,7.564246,8.646167,17.078048,13.136227,-5.430953,8.99436,22.639378,6.339019,-8.630459,0.197227,16.663469,14.668357,4.207516,32.739673,22.606508,14.848041,22.365224,6.787437,0.745714,33.554462,18.657752,9.618612,2.636408
6.53658,6.197489,-0.338679,23.825841,-0.46616,6.791314,20.690495,3.183188,8.917956,6.364536,4.915094,1.956902,10.935762,47.144281,5.998004,7.237703,35.458659,5.504864,16.648326,1.26592,5.912443,19.814165,6.056607,19.081271,10.953481,-0.511509,15.753523,32.060384,-6.730774,-4.651656,13.668189
6.706604,-1.533956,14.229247,10.692337,4.463418,4.261238,-0.917201,4.959952,18.686589,7.047565,0.313208,6.604601,1.717225,-17.54056,15.290264,9.357631,30.062783,2.441925,7.4863,14.086262,2.635241,4.107311,-5.923101,9.02977,20.727943,12.892042,16.387543,16.941676,-3.378947,25.208758,8.564432
6.836449,15.946671,4.870621,-1.950838,4.529062,10.118897,-0.276168,4.673192,2.286393,13.862135,20.159478,24.109912,-3.985183,27.315218,-3.528103,29.853229,-2.283429,-3.720697,13.157989,-11.451374,-4.302955,-0.334033,3.257357,17.299273,8.407704,4.761246,17.381371,36.429923,-1.992941,12.233647,-3.583809
7.012693,5.360503,14.585839,22.670015,-3.973877,11.967147,-0.337832,1.365228,15.352361,8.382501,6.004672,15.415717,1.893187,8.73691,-11.666961,-4.007998,-16.377176,3.669736,6.430869,3.875384,0.382416,53.841401,3.615831,-2.215547,13.83536,7.350222,15.369064,18.182034,25.85781,8.057509,0.363328
7.147221,5.864169,37.104275,-24.30622,-0.394256,9.044596,4.042494,5.181359,-2.797449,13.121128,8.230024,1.465762,13.820411,-0.431442,-7.4974,3.601509,-11.263078,-5.550862,3.104537,6.7815,4.906877,32.97396,1.445047,31.747318,22.219345,6.967996,16.094335,11.454781,67.806078,-2.988983,6.759428
