Time_Gyr,Delta1200_Au1,Delta1200_Au2,Delta1200_Au3,Delta1200_Au4,Delta1200_Au5,Delta1200_Au6,Delta1200_Au7,Delta1200_Au8,Delta1200_Au9,Delta1200_Au10,Delta1200_Au11,Delta1200_Au12,Delta1200_Au13,Delta1200_Au14,Delta1200_Au15,Delta1200_Au16,Delta1200_Au17,Delta1200_Au18,Delta1200_Au19,Delta1200_Au20,Delta1200_Au21,Delta1200_Au22,Delta1200_Au23,Delta1200_Au24,Delta1200_Au25,Delta1200_Au26,Delta1200_Au27,Delta1200_Au28,Delta1200_Au29,Delta1200_Au30
2.988013,0.4243,0.515927,0.485015,0.288472,0.397378,0.377502,0.31847,0.416653,0.423599,0.354785,0.350034,0.413602,0.398393,0.561942,0.317898,0.510591,0.514736,0.498647,0.27889,0.332861,0.418006,0.370238,0.475587,0.515106,0.321019,0.4784,0.526919,0.374303,0.480886,0.303173
3.136877,0.475187,0.583914,0.542824,0.328461,0.450957,0.422898,0.359837,0.466006,0.474824,0.398425,0.399671,0.467179,0.450851,0.638683,0.374646,0.579783,0.574679,0.569818,0.312439,0.373234,0.499451,0.413204,0.533634,0.582339,0.358264,0.557524,0.593559,0.450455,0.544583,0.3425
3.292789,0.531962,0.670975,0.607859,0.524826,0.505726,0.474034,0.405622,0.514511,0.531671,0.450193,0.456235,0.526132,0.514266,0.719848,0.420442,0.663607,0.640414,0.65487,0.355371,0.418149,0.580123,0.461122,0.599803,0.658626,0.401045,0.62566,0.671424,0.520203,0.614337,0.388245
3.456027,0.595206,0.777484,0.680176,0.591907,0.565754,0.531266,0.45497,0.566969,0.594039,0.505151,0.519598,0.591456,0.582854,0.807812,0.469891,0.748579,0.710464,0.750671,0.40047,0.467908,0.662302,0.516719,0.679639,0.743812,0.448324,0.700427,0.7624,0.595236,0.699234,0.443043
3.60199,0.65418,0.869024,0.745716,0.660372,0.623128,0.583581,0.500229,0.619657,0.654764,0.554969,0.645338,0.650084,0.64271,0.886005,0.518627,0.827961,0.775666,0.832149,0.442719,0.515281,0.736431,0.567647,0.757748,0.827279,0.491776,0.774098,0.861538,0.671431,0.80283,0.492546
3.75372,0.718205,0.973113,0.818722,0.737826,0.686202,0.639578,0.550889,0.68062,0.720195,0.609294,0.716606,0.714369,0.707087,0.974647,0.570235,0.915576,0.845315,0.915715,0.490779,0.567575,0.816626,0.623217,0.853476,0.918326,0.539665,0.855173,0.961346,0.773486,0.914898,0.555739
3.911395,0.788611,1.085402,0.896239,0.839204,0.754951,0.700231,0.610836,0.743239,0.788852,0.668375,0.73513,0.785504,0.776415,1.082804,0.632597,1.010265,0.91962,1.005862,0.543278,0.630278,0.90954,0.681888,0.949259,1.016695,0.59302,0.944716,1.056059,0.864993,1.01795,0.652279
4.047463,0.852911,1.188281,0.966065,0.917302,0.820262,0.754482,0.670158,0.799218,0.850373,0.721635,0.853936,0.849196,0.840105,1.17592,0.690697,1.093037,0.985742,1.08849,0.593876,0.705407,0.999437,0.735441,1.029585,1.115945,0.638821,1.024284,1.147649,0.947642,1.109286,0.706329
4.216502,0.933631,1.32281,1.103187,1.018053,0.901979,0.826235,0.743653,0.870916,0.930704,0.79077,0.905962,0.934098,0.919097,1.291428,0.757434,1.203511,1.072184,1.206139,0.662679,0.844808,1.129503,0.802857,1.145136,1.237421,0.69766,1.127009,1.262845,1.066518,1.222334,0.790496
4.362285,1.003471,1.440113,1.144408,1.112675,0.974548,0.889783,0.871728,0.93852,1.001195,0.851652,0.988884,1.016377,0.989655,1.40291,0.817264,1.300431,1.148417,1.3208,0.738606,0.958592,1.249931,0.862749,1.267987,1.343563,0.752324,1.220135,1.362251,1.191054,1.327052,0.868932
4.512646,1.077142,1.564423,1.262349,1.2207,1.0512,0.957015,0.964048,1.014518,1.075395,0.919205,1.094851,1.11508,1.066158,1.53016,0.880932,1.411024,1.229789,1.460665,0.836671,1.069065,1.368401,0.926651,1.378601,1.46644,0.813749,1.3225,1.467989,1.295895,1.428728,0.951898
4.667682,1.158263,1.689885,1.371684,1.309683,1.134735,1.030115,0.949424,1.101949,1.155607,0.993765,1.198597,1.213918,1.15258,1.65178,0.952124,1.526903,1.315577,1.639286,0.93077,1.197678,1.490293,0.994898,1.488436,1.585756,0.883778,1.444763,1.582986,1.405541,1.532509,1.058781
4.82749,1.247238,1.817699,1.472706,1.399722,1.220637,1.117077,1.025348,1.22738,1.241383,1.083153,1.294598,1.310881,1.24566,1.777953,1.037783,1.656719,1.403971,1.832509,1.019736,1.327964,1.616135,1.070364,1.604293,1.712712,0.963409,1.569229,1.702633,1.534003,1.637355,1.20659
4.992162,1.340753,1.951653,1.576854,1.505891,1.311033,1.228883,1.157415,1.353306,1.329979,1.17243,1.397834,1.412787,1.342853,1.912676,1.117093,1.784987,1.496632,1.991637,1.112686,1.47327,1.752868,1.15505,1.721578,1.856663,1.057172,1.691651,1.834178,1.714059,1.759785,1.337044
5.127464,1.422565,2.065764,1.664974,1.599656,1.388422,1.31411,1.191323,1.447877,1.406032,1.25682,1.488427,1.496493,1.423892,2.023955,1.181229,1.889028,1.575374,2.105933,1.188789,1.600659,1.881833,1.221649,1.819419,1.986201,1.149148,1.793937,1.946719,1.826677,1.860809,1.439492
5.301119,1.534128,2.215601,1.78025,1.724588,1.488841,1.413191,1.298393,1.573336,1.508228,1.364648,1.610572,1.605972,1.607458,2.164954,1.266229,2.025447,1.676665,2.270217,1.311354,1.761948,2.073853,1.307824,1.948143,2.149457,1.265798,1.928857,2.091367,1.969689,1.992186,1.583182
5.443716,1.633399,2.3432,1.876112,1.843608,1.573002,1.495574,1.384284,1.673801,1.596313,1.450742,1.712013,1.697932,1.652906,2.284016,1.341516,2.145015,1.760265,2.416206,1.402557,1.884844,2.293386,1.379979,2.060046,2.283182,1.358962,2.04381,2.210485,2.092201,2.105597,1.703252
5.589624,1.73723,2.478677,1.977067,1.96984,1.661491,1.580161,1.472254,1.772612,1.686519,1.53844,1.812524,1.797352,1.78654,2.411723,1.416192,2.270408,1.847514,2.571028,1.495143,2.008941,2.502953,1.454929,2.176947,2.417103,1.456442,2.163266,2.336558,2.225207,2.224355,1.816205
5.73888,1.852443,2.627059,2.082554,2.129709,1.757255,1.667318,1.574291,1.881947,1.780076,1.630482,1.912805,1.897915,1.912785,2.542281,1.49338,2.399296,1.93718,2.727272,1.593685,2.135071,2.683823,1.533801,2.296573,2.552328,1.567114,2.290946,2.471442,2.360825,2.345752,1.926481
5.930215,2.03534,2.833887,2.221089,2.414275,1.894717,1.785391,1.704339,2.021007,1.905177,1.747101,2.040957,2.039012,2.069965,2.713052,1.600967,2.567528,2.052742,2.939145,1.721419,2.294802,2.898094,1.644905,2.450545,2.727629,1.745122,2.473265,2.650376,2.545583,2.506103,2.0639
6.087135,2.257933,3.011093,2.335929,2.604136,2.002228,1.883545,1.845617,2.13383,2.009646,1.84319,2.145956,2.154476,2.230443,2.858023,1.704338,2.707434,2.148876,3.113667,1.829615,2.426729,3.069849,1.733171,2.578547,2.872804,1.864064,2.619624,2.804448,2.691948,2.639992,2.178026
6.207093,2.390301,3.151094,2.425586,2.757689,2.083754,1.957618,1.974686,2.220187,2.094795,1.916229,2.229873,2.238907,2.340073,2.969985,1.781565,2.821464,2.223928,3.241592,1.915635,2.528893,3.203359,1.80002,2.678465,2.98471,1.951182,2.726596,2.929372,2.80616,2.742531,2.264984
6.370084,2.558031,3.355258,2.549865,2.964067,2.196502,2.058179,2.122706,2.342947,2.205928,2.016265,2.348054,2.353651,2.484947,3.123724,1.881071,2.977563,2.32259,3.413253,2.037967,2.667045,3.384731,1.891911,2.814691,3.143648,2.068464,2.873401,3.103523,2.989524,2.885397,2.384685
6.53658,2.720151,3.706378,2.677772,3.150386,2.312684,2.165016,2.273707,2.464373,2.319206,2.119192,2.470502,2.481279,2.63396,3.298852,1.991991,3.134752,2.424738,3.599919,2.18057,2.812078,3.576605,1.986627,2.954463,3.311441,2.18529,3.030523,3.277255,3.161404,3.03787,2.512076
6.706604,2.884782,3.978961,2.810852,3.331422,2.430216,2.274096,2.48066,2.589652,2.435913,2.226843,2.598983,2.625133,2.772851,3.51013,2.14509,3.299793,2.532645,3.782318,2.337669,2.958997,3.763091,2.082855,3.102146,3.489469,2.300547,3.194315,3.503867,3.327645,3.218701,2.647024
6.836449,3.01585,4.155056,2.912892,3.467157,2.52235,2.356437,2.615349,2.688411,2.525231,2.312923,2.697573,2.726671,2.878468,3.648105,2.317985,3.428793,2.616452,3.924194,2.439777,3.074224,3.899883,2.157008,3.214252,3.631545,2.388708,3.321362,3.652669,3.438496,3.36724,2.757325
